name,time,commit,ld_stall,st_stall,alu_stall,frontend,misspec,misc
0-huffbench,1868450.9720130095,0.6703124624477914,0.043825608071363306,0.008911124910096954,0.15257772575796275,0.00979902618492283,0.11432946499519525,0.000244587632667526
0-nettle-aes,1329315.9976980113,0.9799897089585445,0.0026020901019697213,0.00599782144637311,0.006777921890357672,0.003839568626901838,0.0007191668509635887,7.372212488957291e-05
0-minver,260360.9889509975,0.5896889144936146,0.007485760473765974,0.12510706819496104,0.2586946695485035,0.014725708392210745,0.0039214784216085475,0.00037640047533559027
0-crc32,2462985.0138520044,0.7482331412848529,0.07168171913635904,0.07100571015106846,0.10722842344337158,0.0014803175737954759,0.00033089929310019554,3.9789117452538846e-05
0-ud,1968392.9722310149,0.3815645467275378,0.00046637028934295245,0.05825208767639538,0.5570407004436969,0.0021509932517190205,0.00047551480482026524,4.978680648759187e-05
0-picojpeg,1572104.9697340182,0.9164457828651074,0.010020959352774889,0.020917178326561474,0.033250324250831645,0.004271343281317975,0.015032075119003185,6.233680440344923e-05
0-nbody,231176.99529199878,0.17296269138499756,0.003482180391622437,0.0028246755226452812,0.6435155877516813,0.05167469187369147,0.00399693749299271,0.12154323558236924
0-sglib-combined,1969827.9469700118,0.5759695656238368,0.03194492193939716,0.03991516117991039,0.2756144265467999,0.0030764108151280357,0.07321045486324164,0.00026905903168611536
0-st,122120.99978500078,0.32757674646808727,0.0059776778873838095,0.09646170618271407,0.5222443323612016,0.03267251338446767,0.007844678652210533,0.007222345063934959
0-slre,928520.9478159902,0.9239812519404913,0.005620767105228817,0.0038168228819564906,0.051782353551735334,0.005145818208235923,0.009547442113020398,0.00010554419933175397
0-edn,1208073.000192994,0.9861854374716313,0.0019990513815093913,0.0037158350524205625,0.003468333452805114,0.0038540717318044414,0.0006961499842026494,8.112092562646806e-05
0-aha-mont64,911624.994746991,0.8729082674700518,0.0012461264297775,0.0004321952582150836,0.08181763381849858,0.004111339664441963,0.03937693701560116,0.00010750034341390404
0-nsichneu,1946447.8998050191,0.6889236028045459,0.05188939298612516,0.0005194076862274509,0.25101314042309875,0.005363616463120264,0.0022368952184315736,5.394441845092219e-05
0-matmult-int,937736.9896780159,0.9535882657087635,0.0027907611929636907,0.023103493024668843,0.011893526780712283,0.00751596671303328,0.0010034796647225193,0.00010450691513582029
0-wikisort,782600.9942009869,0.783516758532906,0.11707626322855043,0.021816992473197742,0.047236075949203524,0.006227950176547136,0.02271272351007906,0.0014132361295160305
0-cubic,1032826.9518629883,0.43424307533222944,0.009252275981724704,0.005365855325525148,0.385518599492178,0.07647844574303607,0.020590090103323314,0.06855165802198332
0-qrduino,2641160.952506021,0.6049422891058642,0.054902371573536286,0.014530352632840034,0.18276243238489326,0.0036665694269073373,0.13911533852239316,8.064635356580576e-05
0-nettle-sha256,1223432.989863011,0.9377285060716479,0.04036101724339563,0.005025203710330228,0.010099449747046243,0.005939843097425141,0.0007658776637246948,8.010246643011748e-05
