name,time,commit,ld_stall,st_stall,alu_stall,frontend,misspec,misc
0-huffbench,2164898.9639110505,0.6858416899182584,0.03733707731744387,0.008235488259364685,0.16797550650726162,0.006247866632798627,0.09431710366340776,4.526770146490207e-05
0-nettle-aes,1791753.1394060825,0.9675624957915435,0.0027157759029309957,0.0006345740241743818,0.025783127699897906,0.002734193618672205,0.0005151379281556328,5.469503462540847e-05
0-minver,297224.9690330042,0.6168424194961984,0.0216065292929245,0.12686350047466585,0.21888807058056292,0.012128859872468518,0.003317352519904011,0.00035326776327578203
0-crc32,2584328.9968451792,0.7706425920524879,0.06877723394234299,0.06775298354572888,0.09121129712500121,0.0012614492984367213,0.00031652316752185216,3.792086848061309e-05
0-ud,2126600.872919046,0.4218322696762855,0.0007006486355640476,0.0574301466510555,0.5176740092695048,0.0018804657004165277,0.00043637713678082966,4.6082930392803134e-05
0-picojpeg,2117384.7990320567,0.8835402992820535,0.018677285308782304,0.0438408739131576,0.03437259020338271,0.0030263748010892605,0.016496292981780087,4.62835097544862e-05
0-nbody,231176.98457299624,0.18063642732485846,0.005303296096990378,0.002089308331848575,0.6373601605374007,0.04917877106581045,0.003888795425117741,0.12154324121797362
0-sglib-combined,2232584.9221790447,0.5902955399755883,0.032183322249561636,0.03953085910562422,0.2629364707108454,0.0026243122677195013,0.07235200703691184,7.748865374901411e-05
0-st,123657.00110800154,0.37449558612176626,0.01197667731491007,0.09557081195652074,0.47398852854929713,0.02992147607371186,0.006914287038655037,0.007132632945138881
0-slre,1088158.8234740205,0.9477456794234604,0.007568748074574496,0.0008123814106269858,0.0335024623368975,0.003860649667470551,0.00642001870434403,9.006038262606855e-05
0-edn,1397000.9455190017,0.9749828372614193,0.0035805272831377377,0.014460978043572286,0.003193984953490721,0.003140298518817524,0.0005712236649228138,7.01502746396438e-05
0-aha-mont64,930056.9936249887,0.8984019252070692,0.0016321580402115417,0.00042685556124109485,0.059030790990575795,0.0037954663253931104,0.036607433988855305,0.00010536988665397303
0-nsichneu,1948277.8801150145,0.756490588512974,0.019462316123899825,0.00022070773599021376,0.21627202377061508,0.005283640544844792,0.0022199092050178477,5.0814106658212005e-05
0-matmult-int,1648904.9703960717,0.839672992230414,0.002453749653643253,0.14654634702323513,0.0062022979999529285,0.004557570105568227,0.0005076096045722696,5.943338261419644e-05
0-wikisort,1031432.9777559901,0.7845570145687447,0.12474004882015496,0.03250235422270055,0.033186838833165484,0.004680866429638416,0.019258643487642394,0.0010742336379534723
0-cubic,1085050.7381030272,0.474446696384935,0.009167313242319276,0.0059305982421156665,0.36434240917724736,0.063207182476926,0.017655395574857784,0.06525040490159895
0-qrduino,2747144.9548280374,0.6255792770627951,0.04943459563767433,0.014687976303939199,0.17035140398308468,0.0034493993421593023,0.13646167427064998,3.567339969729967e-05
0-nettle-sha256,1662727.7678880696,0.9416152169496126,0.029627820591804896,0.015187693672834561,0.008790976058916674,0.004176269942745939,0.0005430834905385344,5.8939293546817685e-05
