,0
0-sglib-combined,1.4398880010277908
0-wikisort,2.453425133838873
0-matmult-int,3.6555911372784236
0-nettle-sha256,3.594116235950283
0-nettle-aes,3.890385661733121
0-minver,1.8990697196837458
0-slre,2.718273311668709
0-cubic,1.1191018271749316
0-aha-mont64,2.146026488953226
0-nsichneu,1.166924127957479
0-huffbench,1.8089233328692078
0-crc32,1.6462641566507694
0-picojpeg,2.9435882184243787
0-qrduino,1.372107985296047
0-nbody,0.3374914274063502
0-st,0.7430155769521601
0-edn,2.9342091231039746
0-ud,1.1883302807238478
