name,time,commit,ld_stall,st_stall,alu_stall,frontend,misspec,misc
0-huffbench,1852556.0555879949,0.6583450211447942,0.04618159852272079,0.011196962131014298,0.16306767025417593,0.010094161493032222,0.11060448043228852,0.0005101060219740882
0-nettle-aes,1152290.1073329956,0.9622221871705958,0.004039781275892503,0.0098881348780922,0.018359959757847863,0.004615157212716721,0.0007897316779940232,8.504802686089482e-05
0-minver,258733.81241500058,0.5809824816166372,0.0060602825172497345,0.142358664513941,0.25150945441805433,0.014969052416650652,0.0037412968601388667,0.0003787676573281084
0-crc32,2392855.307325022,0.7099264640552198,0.0739020865401541,0.07321253377240043,0.14112219780539104,0.0014497324553560315,0.00034435847310849526,4.2626898370226356e-05
0-ud,1995725.5509259983,0.3103049668521041,0.0007225442392772567,0.07088549822612689,0.6153797046042566,0.002202707680903482,0.000455473449031225,4.910494830039609e-05
0-picojpeg,1563402.9906380053,0.8962097418441158,0.012384522810781241,0.02814629386249446,0.04023019040940486,0.004329657830088742,0.01863690946894603,6.268377416881323e-05
0-nbody,226321.5039410007,0.1563859523937585,0.003623164329156111,0.004405237605083711,0.6525318956810157,0.055041168351582535,0.00409594308918014,0.12391663855022335
0-sglib-combined,1957003.6280590012,0.5513299068991157,0.03620330539206543,0.046556377665158404,0.2875022774270694,0.003091971784437373,0.07505606933681763,0.0002600914953360805
0-st,123603.08282099981,0.2939253778452494,0.006286250975837215,0.09570149651631714,0.5575427281194927,0.032054216687602374,0.007410818396225082,0.007079111459276143
0-slre,921995.7467629873,0.9094974133091632,0.007365543739049078,0.009611758005515083,0.06057294753915666,0.005119329472583072,0.00772671677175462,0.00010629116277820785
0-edn,1201229.637092994,0.9757898081249651,0.002084530653156164,0.01209177625283278,0.005330371314759951,0.003919317218474129,0.0007026133671181318,8.158306869381153e-05
0-aha-mont64,906245.6337809947,0.8646305202176051,0.001266764723831407,0.0008242798333641647,0.08973284611669863,0.004137950970703638,0.039299499685762684,0.00010813845203438841
0-nsichneu,1945212.7604930105,0.6720374177278631,0.056497675849168275,0.0005408148771003187,0.2633835282214315,0.0052498113355023334,0.002234716987409777,5.603500152465279e-05
0-matmult-int,937382.6659949875,0.9507031635250581,0.0030553157252593307,0.024211030162276714,0.013038431841522185,0.007914590560649084,0.0009729217672613511,0.00010454641797325922
0-wikisort,765111.8388129972,0.7735128497438482,0.11798144456899826,0.023873633988382745,0.05532524508530831,0.006648701198888812,0.021212585110667467,0.0014455403039062365
0-cubic,1013419.1108789967,0.41682765436760866,0.00997316894017675,0.006768177081297351,0.3962171185539657,0.08005671013015533,0.020394326274421004,0.06976284465237519
0-qrduino,2642704.5101980153,0.5877950047777438,0.06007179364449869,0.014807557882083518,0.19364707557170613,0.003781353519259445,0.1397787753320648,0.0001184392726436712
0-nettle-sha256,1145744.8875330058,0.9270945906816506,0.04263078153913466,0.006534613491595717,0.016432977537032746,0.006408058268371277,0.0008134446072081219,8.55338750068626e-05
