,0
0-sglib-combined,1.4494988137378182
0-wikisort,2.5143897025221422
0-matmult-int,3.6571795764893054
0-nettle-sha256,3.838550210477997
0-nettle-aes,4.497212576910242
0-minver,1.903361517499156
0-slre,2.735842059288087
0-cubic,1.1395580567114638
0-aha-mont64,2.1590116721429737
0-nsichneu,1.167105575542853
0-huffbench,1.8249028533094054
0-crc32,1.6937757121817123
0-picojpeg,2.95660297990636
0-qrduino,1.3691456576846897
0-nbody,0.3440437612780712
0-st,0.7374688535089211
0-edn,2.9484896857634215
0-ud,1.1709542922739877
